player_id,posteam,defteam,game_id,rolling_epa_per_opp,wt_target_share,wt_air_yards_share,wt_air_yards_per_target,prior_epa_per_opp,baseline_epa_per_opp,is_cold_start,draft_tier,player_name,form_residual,wt_team_total_plays,wt_snap_share,wt_tgt_per_snap,games_played_so_far,def_used_fallback,def_short_pass_epa_adj,def_deep_pass_epa_adj,season,week,report_status,practice_status
00-0036290,CHI,PHI,2025_13_CHI_PHI,0.21607011908420665,0.06551109158708661,0.04333804091184377,6.929183779055952,0.4427449502783759,0.4427449502783759,FALSE,r2_3,Cole Kmet,-0.22667483119416926,70.99176751530635,0.5802801404156858,0.05545615485871585,11,FALSE,-0.7673350020812487,0.2651484034641823,2025,13,NA,NA
00-0036422,DEN,WAS,2025_13_DEN_WAS,0.11968132400955908,0.03836800973632115,0.012802610790606517,2.4632127868379112,0.26698217035234184,0.26698217035234184,FALSE,r2_3,Adam Trautman,-0.14730084634278276,65.73793566022505,0.6262811077537029,0.02050389415739166,11,FALSE,0.21388444389609335,0.5446055778543479,2025,13,NA,NA
00-0036970,ATL,NYJ,2025_13_ATL_NYJ,-0.6441834813135463,0.175304801358689,0.22523600402904376,9.85823618824844,0.09383116521191179,0.09383116521191179,FALSE,r1,Kyle Pitts,-0.7380146465254581,60.08593298403555,0.9124294845975857,0.10414361051103853,10,FALSE,-0.27728598851448893,0.487147816419926,2025,13,NA,NA
00-0037744,ARI,TB,2025_13_ARI_TB,0.6026800452144818,0.2301940310994388,0.23614718301115756,6.86440563540437,0.33381900285286775,0.33381900285286775,FALSE,r2_3,Trey McBride,0.26886104236161407,78.34082318105905,0.873091774087812,0.1682849247883492,11,FALSE,-0.25731018224598895,-0.3531008679370666,2025,13,NA,NA
00-0037809,TEN,JAX,2025_13_JAX_TEN,0.09706230484094672,0.08315364113614714,0.11041500844530157,8.775291647918174,-0.10331420826807038,-0.10331420826807038,FALSE,r4_5,Chig Okonkwo,0.2003765131090171,63.89947436807043,0.6453219769423019,0.07945031088666882,11,FALSE,0.20402158137939336,0.2603061452033751,2025,13,Questionable,Limited Participation in Practice
00-0037838,BAL,CIN,2025_13_CIN_BAL,-0.34671747668569947,0.11998667359688195,0.14494318390502633,8.22909985321404,0.47769827126496006,0.47769827126496006,FALSE,r4_5,Isaiah Likely,-0.8244157479506595,62.696488428176835,0.5613115013793836,0.09182987351398542,11,FALSE,0.5229352471651212,0.28220970186182737,2025,13,NA,NA
00-0038041,DAL,KC,2025_13_KC_DAL,0.04274618412207595,0.14468294629873893,0.06048526188362301,7.400155172124615,-0.14780308391943894,-0.14780308391943894,FALSE,r4_5,Jake Ferguson,0.1905492680415149,69.7786851955152,0.6963776393244812,0.10789237590228065,11,FALSE,-0.03257678111733912,0.27164460062359846,2025,13,NA,NA
00-0038558,PIT,BUF,2025_13_BUF_PIT,0.6522169824340309,0.10472901312828514,0.12089085899066618,6.20250350674075,0.34420989026548343,0.34420989026548343,FALSE,r2_3,Darnell Washington,0.3080070921685475,64.84623538670769,0.6136348484363334,0.06794409179881405,11,FALSE,-0.5464716248582558,0.3069809026279081,2025,13,NA,NA
00-0038935,JAX,TEN,2025_13_JAX_TEN,0.7660541995627619,0.1356219325395998,0.12105804833286289,5.4252474740993915,0.357494601111271,0.357494601111271,FALSE,r2_3,Brenton Strange,0.40855959845149087,70.24036495944426,0.6868246539744278,0.09931507750648864,11,FALSE,0.15979242752670905,0.7330637417486784,2025,13,NA,NA
00-0039338,LV,LAC,2025_13_LV_LAC,0.21071448540044374,0.21391141749782205,0.3159111137304616,6.447073734799496,0.17716066278127543,0.17716066278127543,FALSE,r1,Brock Bowers,0.03355382261916831,64.25482952774018,0.8853835394122831,0.15355134299132495,11,FALSE,-0.18951453775665894,0.4232742671917422,2025,13,NA,NA
00-0039793,SEA,MIN,2025_13_MIN_SEA,0.12593850129233033,0.15940693911972062,0.09036410271443654,5.953537031984101,0.2917537240504508,0.2917537240504508,FALSE,r4_5,AJ Barner,-0.16581522275812047,63.89421467825899,0.7446454470230762,0.08513427253998003,11,FALSE,0.21138412122540431,0.04334417306572031,2025,13,NA,NA
00-0039847,NYG,NE,2025_13_NYG_NE,0.5523203795917393,0.1518176821221567,0.19253207925822255,10.498171776087652,0.10564287570183338,0.10564287570183338,FALSE,r4_5,Theo Johnson,0.4466775038899059,70.79453841629578,0.890500673260519,0.0882237209422965,11,FALSE,-0.06706300776003159,0.07580027811367736,2025,13,NA,NA
00-0040126,CHI,PHI,2025_13_CHI_PHI,0.7720946650135174,0.1372246283239389,0.12728467025994303,8.151754269179499,NA,0.09780411744330664,TRUE,r1,Colston Loveland,0.6742905475702108,70.99176751530635,0.7160906904670018,0.10120529704574358,11,FALSE,-0.7673350020812487,0.2651484034641823,2025,13,NA,NA
00-0040128,IND,HOU,2025_13_HOU_IND,0.4807971492548066,0.19699299171978993,0.11851000480866716,3.7027324530348724,NA,0.09780411744330664,TRUE,r1,Tyler Warren,0.38299303181149996,64.44654614825888,0.8512097960669452,0.13129069787270842,11,FALSE,0.5502087896825374,0.07492904070618596,2025,13,Questionable,NA
00-0040187,CAR,LA,2025_13_LA_CAR,-1.7136626701160071,0.04475351787245886,0.05382503657678383,7.5899694575098735,NA,0.15253167493069733,TRUE,r4_5,Mitchell Evans,-1.8661943450467045,60.21601803900023,0.31324572239421217,0.053703550782156266,11,FALSE,0.30717933778306084,-2.7938293568647294,2025,13,NA,NA
00-0040584,TEN,JAX,2025_13_JAX_TEN,0.44865015390628366,0.1073479232202387,0.11132815465849338,7.1536654719793376,NA,0.15253167493069733,TRUE,r4_5,Gunnar Helm,0.2961184789755863,63.89947436807043,0.5649343844848419,0.1173180863440889,11,FALSE,0.20402158137939336,0.2603061452033751,2025,13,NA,NA
00-0040663,CLE,SF,2025_13_SF_CLE,0.002075466717123872,0.22791196465599844,0.17400707141357682,4.583022059517263,NA,0.28661220259131037,TRUE,r2_3,Harold Fannin Jr.,-0.2845367358741865,59.70214415358767,0.7765257397860733,0.14446302007762649,12,FALSE,-0.8888229107952266,-0.018741197644748468,2025,13,NA,NA
00-0040736,NYJ,ATL,2025_13_ATL_NYJ,-0.11118328461390461,0.1594919335415932,0.14996053486458275,5.314329747666339,NA,0.28661220259131037,TRUE,r2_3,Mason Taylor,-0.39779548720521496,59.77364121871108,0.8178895684223121,0.0939341769398825,11,FALSE,0.29675368373994837,-0.26122939256221,2025,13,NA,NA
